"","lat","lon","harvest_year","harvest_month","harvest_day","plantyear","iscaveinrock","use_or_not","MEAN","SE"
"1",40.06,-88.2,2010,11,9,2002,1,0,12,2.2
"2",40.06,-88.2,2009,10,24,2002,1,0,12,0.9
"3",40.06,-88.2,2008,11,29,2002,1,0,18,2
"4",40.06,-88.2,2010,11,9,2002,1,1,12,1.4
"5",40.06,-88.2,2009,10,24,2002,1,1,17,7.7
"6",40.06,-88.2,2008,11,29,2002,1,1,17,3.9
"7",40.06,-88.2,2010,11,9,2002,1,2,8.9,2.4
"8",40.06,-88.2,2009,10,24,2002,1,2,12,2.6
"9",40.06,-88.2,2008,11,29,2002,1,2,27,6.1
"10",40.06,-88.2,2010,11,9,2002,1,3,16,3
"11",40.06,-88.2,2009,10,24,2002,1,3,7.9,2.4
"12",40.06,-88.2,2008,11,29,2002,1,3,21,3.2
"13",43.64,-80.41,2011,10,31,2010,0,4,NA,NA
"14",44.37,-96.79,2011,10,31,2009,0,4,7.975,1.02333333333333
"15",44.37,-96.79,2010,11,9,2009,0,4,NA,NA
"16",42.39,-85.37,2011,10,31,2009,1,4,8.125,1.798125
"17",42.39,-85.37,2010,11,9,2009,1,4,NA,NA
"18",42.39,-85.37,2009,10,24,2009,1,4,NA,NA
"19",40.46,-74.43,2011,10,31,2009,0,4,12.5,3.0775
"20",40.46,-74.43,2010,11,9,2009,0,4,NA,NA
"21",40.06,-88.2,2010,11,9,2009,1,4,NA,NA
"22",40.06,-88.2,2011,10,31,2009,1,4,9.25,2.625
"23",40.06,-88.2,2009,10,24,2009,1,4,NA,NA
"24",38.13,-84.5,2011,10,31,2009,0,4,17.525,7.9
"25",38.13,-84.5,2010,11,9,2009,0,4,NA,NA
"26",35.99,-97.05,2010,11,9,2009,0,4,NA,NA
"27",35.99,-97.05,2011,10,31,2009,0,4,8.325,1.325
"28",33.42,-88.8,2011,10,31,2009,0,4,12.6,4.13333333333333
"29",33.42,-88.8,2010,11,9,2009,0,4,NA,NA
"30",30.41,-91.1,2010,11,9,2009,0,4,NA,NA
"31",30.41,-91.1,2011,10,31,2009,0,4,11.25,2.65
"32",32.88,-82.21,2010,11,8,2009,0,4,NA,NA
"33",41.85,-88.85,2010,11,9,2002,1,0,4.5,0.79
"34",41.85,-88.85,2009,10,24,2002,1,0,5.3,0.43
"35",41.85,-88.85,2008,11,29,2002,1,0,10,1.2
"36",41.85,-88.85,2007,8,14,2002,1,0,6.1,1.4
"37",41.85,-88.85,2010,11,9,2002,1,1,7.6,2.5
"38",41.85,-88.85,2009,10,24,2002,1,1,8.9,1.1
"39",41.85,-88.85,2008,11,29,2002,1,1,17,1.6
"40",41.85,-88.85,2007,8,14,2002,1,1,21,2.9
"41",41.85,-88.85,2010,11,9,2002,1,2,3.9,0.7
"42",41.85,-88.85,2009,10,24,2002,1,2,13,4.8
"43",41.85,-88.85,2008,11,29,2002,1,2,16,3
"44",41.85,-88.85,2007,8,14,2002,1,2,20,1.5
"45",41.85,-88.85,2010,11,9,2002,1,3,5.8,1.1
"46",41.85,-88.85,2009,10,24,2002,1,3,12,3.4
"47",41.85,-88.85,2008,11,29,2002,1,3,19,3.5
"48",41.85,-88.85,2007,8,14,2002,1,3,19,3.4
"49",38.95,-88.96,2009,10,24,2004,1,0,8.4,1.8
"50",38.95,-88.96,2008,11,29,2004,1,0,15,2.4
"51",38.95,-88.96,2010,11,9,2004,1,0,7.4,0.86
"52",38.95,-88.96,2009,10,24,2004,1,1,9.2,0.66
"53",38.95,-88.96,2008,11,29,2004,1,1,13,2.4
"54",38.95,-88.96,2010,11,9,2004,1,1,7.9,2.9
"55",38.95,-88.96,2009,10,24,2004,1,2,8.4,1.5
"56",38.95,-88.96,2008,11,29,2004,1,2,14,1.3
"57",38.95,-88.96,2010,11,9,2004,1,2,9.5,1.5
"58",38.95,-88.96,2008,11,29,2004,1,3,21,2.4
"59",38.95,-88.96,2009,10,24,2004,1,3,8.2,1.3
"60",38.95,-88.96,2010,11,9,2004,1,3,6.1,1.3
"61",37.45,-88.67,2010,11,9,2002,1,0,8.7,2.4
"62",37.45,-88.67,2009,10,24,2002,1,0,14,3.6
"63",37.45,-88.67,2008,11,29,2002,1,0,6.3,3.5
"64",37.45,-88.67,2007,8,14,2002,1,0,13,0.66
"65",37.45,-88.67,2010,11,9,2002,1,1,10,1.8
"66",37.45,-88.67,2009,10,24,2002,1,1,13,2.8
"67",37.45,-88.67,2008,11,29,2002,1,1,8.7,2.1
"68",37.45,-88.67,2007,8,14,2002,1,1,13,2.6
"69",37.45,-88.67,2010,11,9,2002,1,2,5.3,2.5
"70",37.45,-88.67,2009,10,24,2002,1,2,14,2
"71",37.45,-88.67,2008,11,29,2002,1,2,9.7,3.1
"72",37.45,-88.67,2007,8,14,2002,1,2,16,1.4
"73",37.45,-88.67,2010,11,9,2002,1,3,14,3.4
"74",37.45,-88.67,2009,10,24,2002,1,3,19,1.7
"75",37.45,-88.67,2008,11,29,2002,1,3,14,4.8
"76",37.45,-88.67,2007,8,14,2002,1,3,25,7
"77",38.38,-88.39,2010,11,9,2004,1,0,5.6,0.7
"78",38.38,-88.39,2009,10,24,2004,1,0,12,2.5
"79",38.38,-88.39,2008,11,29,2004,1,0,17,3.1
"80",38.38,-88.39,2010,11,9,2004,1,1,10,2.4
"81",38.38,-88.39,2009,10,24,2004,1,1,7.9,1.3
"82",38.38,-88.39,2008,11,29,2004,1,1,20,4.5
"83",38.38,-88.39,2010,11,9,2004,1,2,9.2,3
"84",38.38,-88.39,2009,10,24,2004,1,2,11,1.3
"85",38.38,-88.39,2008,11,29,2004,1,2,16,3.1
"86",38.38,-88.39,2010,11,9,2004,1,3,12,2
"87",38.38,-88.39,2009,10,24,2004,1,3,7.9,0.91
"88",38.38,-88.39,2008,11,29,2004,1,3,22,1.6
"89",39.81,-90.82,2010,11,9,2004,1,0,8.2,1.5
"90",39.81,-90.82,2009,10,24,2004,1,0,9.7,1.2
"91",39.81,-90.82,2008,11,29,2004,1,0,13,2.6
"92",39.81,-90.82,2010,11,9,2004,1,1,6.3,1.8
"93",39.81,-90.82,2009,10,24,2004,1,1,9.2,1.4
"94",39.81,-90.82,2008,11,29,2004,1,1,14,1.3
"95",39.81,-90.82,2009,10,24,2004,1,2,8.9,1.4
"96",39.81,-90.82,2008,11,29,2004,1,2,14,2.5
"97",39.81,-90.82,2010,11,9,2004,1,2,5,NA
"98",39.81,-90.82,2010,11,9,2004,1,3,6.1,0.5
"99",39.81,-90.82,2009,10,24,2004,1,3,11,1.5
"100",39.81,-90.82,2008,11,29,2004,1,3,17,1.2
"101",40.3,-89.94,2010,11,9,2004,1,0,8.4,2.5
"102",40.3,-89.94,2009,10,24,2004,1,0,6.1,0.79
"103",40.3,-89.94,2008,11,29,2004,1,0,16,2.5
"104",40.3,-89.94,2010,11,9,2004,1,1,8.4,2
"105",40.3,-89.94,2009,10,24,2004,1,1,7.6,2.2
"106",40.3,-89.94,2008,11,29,2004,1,1,17,3.8
"107",40.3,-89.94,2010,11,9,2004,1,2,7.1,1.4
"108",40.3,-89.94,2009,10,24,2004,1,2,5,0.5
"109",40.3,-89.94,2008,11,29,2004,1,2,16,5.2
"110",40.3,-89.94,2010,11,9,2004,1,3,5.3,1.8
"111",40.3,-89.94,2009,10,24,2004,1,3,7.6,1.2
"112",40.3,-89.94,2008,11,29,2004,1,3,16,1.4
"113",37.45,-88.67,2006,1,31,2001,1,4,9.35,2.75
"114",37.45,-88.67,2005,1,31,2001,1,4,7.8,0.6
"115",40.06,-88.2,2004,1,31,2001,1,4,19.4,2.15
"116",40.06,-88.2,2005,1,31,2001,1,4,11.05,1.55
"117",40.06,-88.2,2006,1,31,2001,1,4,18.8,3.9
"118",41.85,-88.85,2005,1,31,2001,1,4,7.8,0.6
"119",41.85,-88.85,2006,1,31,2001,1,4,8.05,0.95
